1,a,35,6,a,アルファベットのa. ひとつの. 1人の. 例示時(NATO phonetic alphabetという. 以下zまで同) A as Alpha.,2021-05-05 12:00:00,,0
2,AA,29,3818,単3電池,単3電池,2021-05-05 12:00:00,,0
3,AAA,29,6879,単4電池,単4電池  2. AAA(Aromatic Amino Acid 芳香族アミノ酸-芳香族基を持つアミノ酸),2021-05-05 12:00:00,,0
4,AAC,95,17312,AAC,Advanced Audio Coding. 音声圧縮の方式,2021-05-05 12:00:00,,0
5,Aaron,98,7116,アーロン,アロン. Mosesの兄. ユダヤ教最初の祭司長(聖書),2021-05-05 12:00:00,,0
6,AB,29,5003,AB,Antibody(抗体). abdomenの略(おなか). artium baccalaureus(文学士). Abscess(膿瘍). Anheuser‐Busch(アンハイザー･ブッシュ ビール会社),2021-05-05 12:00:00,,0
7,aback,,22636,後ろに,後ろに,2021-05-05 12:00:00,,0
8,abacus,,32594,そろばん,そろばん,2021-05-05 12:00:00,,0
9,abalone,74,35353,アワビ,アワビ,2021-05-05 12:00:00,,0
10,abandon,,2454,捨てる,を捨てる. 放棄する. give up. desert,2021-05-05 12:00:00,,0
11,abandonment,,15956,放棄,放棄,2021-05-05 12:00:00,,0
12,abasic,87,26829,無塩基,脱塩基 ,2021-05-05 12:00:00,,0
13,abate,,17555,弱まる,の勢いを減らす. 和らげる. やわらぐ. おさまる,2021-05-05 12:00:00,,0
14,abattoir,18,55144,食肉処理場,食肉処理場,2021-05-05 12:00:00,,0
15,abbess,6,50313,女子修道院長,尼僧院長. 修道女の長,2021-05-05 12:00:00,,0
16,abbey,6,8417,修道院,修道院. 僧院,2021-05-05 12:00:00,,0
17,abbot,8,16610,修道院長,修道院長,2021-05-05 12:00:00,,0
18,abbreviate,27,28448,短縮する,短くする. 省略する. 短縮する,2021-05-05 12:00:00,,0
19,abbreviated,27,13952,略された,省略された ,2021-05-05 12:00:00,,0
20,abbreviation,27,4475,略語,略語. 省略. 短縮,2021-05-05 12:00:00,,0
21,ABC,23,2817,ABC,Atomic Biological Bacteriological & Chemical(ABC兵器). 2. ABC朝日放送,2021-05-05 12:00:00,,0
22,abdicate,,32594,放棄する,を捨てる. (正式に)放棄する. 退位する,2021-05-05 12:00:00,,0
23,abdication,,24827,退位,退位. (権利などの)放棄,2021-05-05 12:00:00,,0
24,abdomen,79,17841,腹部,腹部. 腹,2021-05-05 12:00:00,,0
25,abdominal,79,8746,腹部,腹部. 腹部の,2021-05-05 12:00:00,,0
26,abduct,13,36956,誘拐する,誘拐する,2021-05-05 12:00:00,,0
27,abducted,13,15548,拉致,誘拐された ,2021-05-05 12:00:00,,0
28,abduction,13,11169,拉致,誘拐. 拉致,2021-05-05 12:00:00,,0
29,Abdul,98,10027,アブドゥル,アブドゥル (人名),2021-05-05 12:00:00,,0
30,abed,,55144,就床して,就床して,2021-05-05 12:00:00,,0
31,Abel,98,20527,アベル,アベル(AdamとEveの第2子. 兄Cainに殺された)(聖書),2021-05-05 12:00:00,,0
32,Abercrombie,96,23138,アバークロンビー,Abercrombie＆Fitch アーバークロンビー. (ファッションブランド),2021-05-05 12:00:00,,0
33,Aberdeen,2,24827,アバディーン,"アバディーン. エディンバラ,グラスゴーに次ぐスコットランド第3の港湾都市",2021-05-05 12:00:00,,0
34,aberrant,,9498,常軌を逸した,正道をはずれた. 常軌を逸した. 異常な,2021-05-05 12:00:00,,0
35,aberration,,16191,収差,狂い. 脱線(行為). 異常. 精神異常. (光の)収差,2021-05-05 12:00:00,,0
36,abet,,19536,唆す,扇動. 扇動する. (悪事)をけしかける. 教唆する,2021-05-05 12:00:00,,0
37,abhor,82,24827,忌み嫌う,ひどく嫌う. ぞっとするほど嫌う. 拒否する,2021-05-05 12:00:00,,0
38,abhorrence,82,55144,嫌悪,嫌悪の情,2021-05-05 12:00:00,,0
39,abhorrent,82,43408,忌まわしい　,嫌悪すべき. 大嫌いな,2021-05-05 12:00:00,,0
40,abide,,10369,守る,がまんする. とどまる. 待つ. 従う. 住む. 規則を守る ,2021-05-05 12:00:00,,0
41,abigail,25,18918,アビゲイル,腰元. 侍女,2021-05-05 12:00:00,,0
42,Abilene,2,18353,アビリーン,アビリーン. テキサス州の都市名 ,2021-05-05 12:00:00,,0
43,ability,,913,能力,能力. 腕力. 才能,2021-05-05 12:00:00,,0
44,abiotic,,22163,非生物,非生物 ,2021-05-05 12:00:00,,0
45,abject,,20527,情けない,無気力の. 悲惨な. 情けない. 卑屈な,2021-05-05 12:00:00,,0
46,abjure,12,40852,捨てる,宣誓して捨てる,2021-05-05 12:00:00,,0
47,ABL,23,20184,ABL,"Airborne Laser(エアボーンレーザー,空中発射レーザー)",2021-05-05 12:00:00,,0
48,ablate,92,35353,切除する,除去する,2021-05-05 12:00:00,,0
49,ablated,92,26829,アブレーション,切除された,2021-05-05 12:00:00,,0
50,ablation,92,12240,アブレーション,＜ablate. 切除,2021-05-05 12:00:00,,0
51,ablative,27,50313,アブレーション,"奪格. 名詞の格の一つで,主に起点･分離(～から)を示す",2021-05-05 12:00:00,,0
52,ablaze,,27590,輝いている,燃え立った. 燃え立って. 輝いて. 興奮して,2021-05-05 12:00:00,,0
53,able,,413,できる,能力のある. ～できる,2021-05-05 12:00:00,,0
54,ably,,32594,巧みに,りっぱに. 巧みに,2021-05-05 12:00:00,,0
55,ABM,23,31439,ABM,anti-ballistic missile. 弾道弾迎撃ミサイル,2021-05-05 12:00:00,,0
56,abnormal,,5115,異常な,異常な,2021-05-05 12:00:00,,0
57,abnormality,,5011,異常,普通でないこと･もの. 異常. 奇形. (体の)変調. 障害,2021-05-05 12:00:00,,0
58,abnormally,,19875,異常に,異常に ,2021-05-05 12:00:00,,0
59,aboard,41,6432,乗って,(船･バスなど)に乗って. 搭乗して. on board,2021-05-05 12:00:00,,0
60,abolish,,5806,廃止する,(法律･制度など)を廃止する,2021-05-05 12:00:00,,0
61,abolition,,15194,廃止,廃止. 全廃,2021-05-05 12:00:00,,0
62,abolitionist,,23649,廃止論者,廃止論者,2021-05-05 12:00:00,,0
63,abominable,82,33910,忌まわしい　,忌まわしい. 言語道断な. 実に不快な. 全くひどい,2021-05-05 12:00:00,,0
64,abomination,82,20935,醜態,嫌悪. 憎悪,2021-05-05 12:00:00,,0
65,Aboriginal,5,13799,先住民,"オーストラリアの原住民(Aborigine)の, 土着の",2021-05-05 12:00:00,,0
66,Aborigine,5,19536,アボリジニ,アボリジニ(オーストラリアの原住民). 4万年以上前にアジアから移住したとされる. (形. Aboriginal),2021-05-05 12:00:00,,0
67,abort,92,22636,中止,流産する. 頓挫する. むだに終わる,2021-05-05 12:00:00,,0
68,aborted,81,22636,アボート,中絶された,2021-05-05 12:00:00,,0
69,abortion,92,2470,中絶,人工中絶. 堕胎. 流産. 早産. (器官の)発育不全,2021-05-05 12:00:00,,0
70,abortionist,89,40852,堕胎医,人工中絶賛成者,2021-05-05 12:00:00,,0
71,abortive,,20527,失敗に終わった,失敗に終わった. 失敗に終わる. 実を結ばない. むなしい,2021-05-05 12:00:00,,0
72,abortus,89,18918,流産児,流産児 ,2021-05-05 12:00:00,,0
73,abound,,8469,たくさんある,沢山いる. たくさんいる. 多い. 富む,2021-05-05 12:00:00,,0
74,about,,38,約,約. について,2021-05-05 12:00:00,,0
75,above,,626,の上に,の上に. 超越して,2021-05-05 12:00:00,,0
76,Abraham,98,8148,アブラハム,アブラハム(ユダヤ人の先祖)(聖書),2021-05-05 12:00:00,,0
77,abrasion,,32594,摩耗,すりへり,2021-05-05 12:00:00,,0
78,abrasive,,22636,研磨剤,すり減らす. 研磨剤. 研磨の. 不快な,2021-05-05 12:00:00,,0
79,abreast,,18064,横に並んで,並んで. 並行して,2021-05-05 12:00:00,,0
80,abridge,,30344,削減する,要約する. 短縮する. 縮小する. 削減する. 弱める. 要約,2021-05-05 12:00:00,,0
81,abroad,,3874,海外で,外国で. 外国へ,2021-05-05 12:00:00,,0
82,abrogate,12,27590,廃止する,(法律などを)廃止する. 捨てる,2021-05-05 12:00:00,,0
83,abrogated,,30344,廃止,廃止の ,2021-05-05 12:00:00,,0
84,abrogation,12,40852,廃止,＜abrogate. (法律などの)廃止. 破棄,2021-05-05 12:00:00,,0
85,abrupt,,11485,突然の,不意の. 険しい. 突然の,2021-05-05 12:00:00,,0
86,abruptly,,9960,突然,突然に,2021-05-05 12:00:00,,0
